id,vocab,meaning,pronounce
C795,地下,"Underground, Basement, Cellar ",ちか
C791,土地,Land,とち
C797,地図,Map,ちず
C745,両手,"Both Hands, Both Arms",りょうて
C747,両日,Both Days,りょうじつ
C746,両方,"Both, Both Sides, Both Ways",りょうほう
C761,全て,"All, Entire, Everything ",すべて
C762,全力,"Full Effort, Every Effort, Best Effort, Full Power",ぜんりょく
C764,全日本,"All Japan, All Of Japan ","ぜんにほん, ぜんにっぽん"
C811,安全,"Safety, Safe ",あんぜん
C835,方向,Direction,ほうこう
C810,安い,"Cheap, Inexpensive",やすい
C812,安心,"Relief, Peace Of Mind",あんしん
C741,不安,"Uneasiness, Anxiety, Unease",ふあん
C819,平安,"Peace, Peaceful, Heian",へいあん
C817,州,"State, Province, County ",しゅう
C750,九州,"Kyuushuu, Kyushu ",きゅうしゅう
C848,本州,"Honshuu, Honshu",ほんしゅう
C843,曲,"Tune, Piece Of Music, Song, Melody",きょく
C782,名曲,"Famous Music, Famous Song, Famous Tune, Masterpiece",めいきょく
C845,有る,"To Have, To Exist",ある
C846,有名,Famous,ゆうめい
C856,次,Next,つぎ
C857,次回,Next Time,じかい
C881,目次,Table Of Contents,もくじ
C822,年次,"Annual, Yearly",ねんじ
C864,死ぬ,To Die,しぬ
C866,死体,"Dead Body, Corpse, Cadaver ",したい
C865,死亡,"Mortality, Death ",しぼう
C898,羊,Sheep,ひつじ
C899,羊毛,Wool,ようもう
C907,血,Blood,ち
C770,出血,"Bleeding, Bleed",しゅっけつ
C788,国,"Country, Nation",くに
C748,中国,China,ちゅうごく
C803,天国,"Kingdom Of Heaven, Heaven, Paradise",てんごく
C763,全国,"Nationwide, National, Countrywide",ぜんこく
C786,四国,Shikoku,しこく
C798,外国,"Foreign Country, Other Countries, Overseas ",がいこく
C799,外国人,"Foreign Person, Foreigner",がいこくじん
C895,米国,"United States Of America, United States, America, USA",べいこく
C801,夜,"Night, Evening",よる
C755,今夜,"Tonight, This Evening",こんや
C808,姉妹,Sisters,しまい
C805,妹,"Younger Sister, Little Sister ",いもうと
C735,お姉さん,"Older Sister, Miss",おねえさん
C825,店,"Shop, Store",みせ
C840,明るい,"Bright, Cheerful ",あかるい
C742,不明,"Unknown, Unclear, Uncertain, Unsure",ふめい
C853,東方,"Eastward, Eastern Direction, The East",とうほう
C852,東北,"Tohoku, Tohoku Region, Northeast Region",とうほく
C749,中東,Middle East,ちゅうとう
C780,南東,Southeast,なんとう
C860,歩く,To Walk,あるく
C883,直す,"To Fix, To Repair, To Fix Something, To Repair Something",なおす
C858,正直,"Honest, Honestly ",しょうじき
C884,直行,"Nonstop, Direct",ちょっこう
C917,長い,Long,ながい
C887,社長,"Company President, Manager, Director, President Of A Company",しゃちょう
C774,前,"Front, Before",まえ
C776,午前,"AM, Morning, A.M.",ごぜん
C779,南,South,みなみ
C829,後ろ,"Behind, Back, Rear",うしろ
C828,後で,"After, Afterwards, Later",あとで
C777,午後,"PM, Afternoon, P.M. ",ごご
C831,思う,To Think,おもう
C879,生活,"Life, Livelihood ",せいかつ
C872,海外,"Overseas, Foreign, Abroad",かいがい
C875,点,"Point, Score, Decimal Point, Viewpoint",てん
C894,科学,Science,かがく
C736,お茶,Tea,おちゃ
C903,茶色,"Brown, Brown Color, Color Brown",ちゃいろ
C920,食べる,To Eat,たべる
C6240,戒める,"To Warn, To Caution, To Admonish ",いましめる
C6241,戒告,Admonition,かいこく
C6305,訓戒,"Warning, Admonition ",くんかい
C6307,警戒,"Vigilance, Precaution",けいかい
C6249,排気,"Exhaust, Ventilation",はいき
C6247,排他,Exclusion,はいた
C6250,排水,Drainage,はいすい
C6248,排出,Emission,はいしゅつ
C6251,排除,"Exclusion, Removal, Elimination",はいじょ
C6254,携帯,"Portable, Cell Phone, Mobile Phone",けいたい
C6253,携わる,"To Engage In, To Participate, To Take Part In",たずさわる
C6256,敏感,"Sensitivity, Sensitive To, Sensibility",びんかん
C6316,過敏,"Oversensitivity, Nervousness",かびん
C6264,機敏,"Quick, Prompt, Clever, Shrewd, Smart ",きびん
C6323,鋭敏,"Sharpness, Quick Witted, Keenness",えいびん
C6321,鋭い,Sharp,するどい
C6322,鋭利,Sharpness,えいり
C6260,新鋭,"Cutting Edge, Up-And-Coming, State Of The Art, Freshly Picked",しんえい
C6258,敷く,"To Spread Out, To Lay Out",しく
C6259,敷金,Security Deposit,しききん
C6231,屋敷,"Residence, Estate",やしき
C6237,座敷,"Tatami Room, Tatami Mat Room",ざしき
C6189,〜殿,"Mr., Ms., Lord",どの
C6270,殿様,Feudal Lord,とのさま
C6269,殿堂,"Palace, Sanctuary, Hall Of Fame",でんどう
C6275,犠打,"Sacrifice Fly, Sacrifice Bunt ",ぎだ
C6278,獲得,"Acquisition, Possession ",かくとく
C6245,捕獲,"Capture, Seizure ",ほかく
C6279,獲物,"Spoils, Trophy, Game",えもの
C6290,茂る,"To Be Luxuriant, To Grow Thickly ",しげる
C6286,繁茂,Luxuriant Growth,はんも
C6339,頻繁,"Frequent, Incessant ",ひんぱん
C6285,繁殖,"Breeding, Multiplying",はんしょく
C6284,繁栄,"Prospering, Prosperity",はんえい
C6337,頻度,Frequency,ひんど
C6338,頻発,"Frequency, Frequent Occurrence",ひんぱつ
C6336,頻りに,"Frequently, Repeatedly, Often ",しきりに
C6280,生殖,Reproduction,せいしょく
C6267,殖える,"To Multiply, To Increase",ふえる
C6292,薄い,"Thin, Weak, Dilute",うすい
C6294,薄弱,"Weakness, Feebleness",はくじゃく
C6295,薄情,Cold Hearted,はくじょう
C6299,衝撃,"Shock, Crash, Impact",しょうげき
C6300,衝突,"Collision, Impact, Conflict",しょうとつ
